y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
0,159,65,3,1291,14,39,79,731,5.3,62.7,0.0,21.0
0,25,42,3,300,1,13,26,347,0.9,53.5,0.4,6.6
0,113,23,3,746,1,13,26,256,3.1,54.3,0.0,15.5
0,33,34,3,760,1,13,26,579,12.2,48.3,0.0,16.7
0,215,57,3,1518,17,24,67,2376,16.9,34.7,0.0,23.4
0,395,41,3,508,1,13,26,331,3.8,58.1,0.6,9.8
0,462,21,3,646,2,13,26,114,2.0,22.4,0.0,22.6
0,184,30,3,1213,1,13,26,776,1.9,49.0,0.0,19.6
0,124,35,3,684,1,13,26,598,1.5,47.6,0.2,13.3
0,157,33,11,607,1,13,48,223,0.7,48.2,0.0,10.0
0,146,32,3,1355,1,13,26,964,1.6,40.0,0.0,8.0
0,283,88,3,391,1,13,26,527,0.8,45.8,0.0,15.5
0,130,11,3,656,1,13,26,804,1.1,40.4,0.3,12.0
0,682,11,3,514,45,109,758,996,0.7,58.3,0.3,9.2
0,61,40,3,591,12,13,184,728,3.9,58.5,0.3,19.4
0,66,16,3,355,1,13,26,1958,1.8,55.0,0.2,23.1
0,131,78,3,1199,1,13,26,461,4.7,62.9,0.8,11.9
0,28,13,3,837,1,13,26,810,1.4,51.9,0.0,21.6
0,459,15,3,1175,1,13,26,645,2.5,57.0,0.0,9.9
0,765,4,3,811,1,13,26,465,2.9,61.7,0.0,17.7
1,151,30,3,1477,1,13,26,342,1.3,50.3,0.0,8.8
1,199,54,7,2083,1,13,41,278,1.4,35.2,0.2,31.1
1,121,77,3,261,1,13,26,132,9.6,45.4,0.0,19.0
1,575,88,3,1381,1,13,26,1870,2.2,38.6,0.2,23.3
1,161,51,3,515,1,13,26,440,15.8,47.6,0.0,16.2
1,740,52,5,1604,1,13,26,2617,2.3,31.8,0.0,34.6
1,312,36,3,417,1,13,26,342,4.8,39.8,0.2,28.0
1,292,65,3,801,3,13,26,686,0.3,46.8,0.0,21.0
1,335,53,3,989,1,13,26,201,1.4,29.0,0.0,10.3
1,192,53,3,1258,1,13,26,1019,0.5,32.7,0.3,16.0
1,270,33,10,663,1,13,26,456,0.6,33.2,0.0,16.9
1,261,47,9,663,1,13,26,473,0.2,37.4,0.0,25.8
1,176,55,3,842,1,13,26,1054,0.2,33.9,0.0,28.2
1,194,55,3,963,1,13,26,880,1.7,49.4,0.0,5.5
1,307,37,3,572,1,13,26,227,1.1,55.3,0.6,27.8
1,231,95,5,1783,1,13,26,1702,1.2,46.2,0.2,35.7
1,339,49,3,2151,1,13,26,859,0.7,36.9,0.0,6.3
1,177,59,3,611,1,13,26,244,3.3,45.2,0.4,18.0
1,443,52,7,691,1,13,26,613,1.1,47.0,0.0,20.2
1,232,85,3,1391,1,13,26,1849,2.0,47.7,0.0,30.6
1,365,52,3,1826,1,13,26,499,0.5,56.6,0.4,11.6
1,257,41,3,625,1,13,26,1060,0.3,48.8,0.0,11.8
1,243,67,3,2970,1,13,26,1697,1.3,46.6,0.3,3.6
1,691,66,3,766,1,13,26,1778,1.7,74.2,0.0,18.3
1,599,55,3,6946,1,13,26,1144,1.5,57.2,0.2,24.4
1,284,89,3,334,1,13,26,363,0.7,55.1,0.0,17.8
1,498,20,3,1191,1,13,26,3128,1.6,49.8,0.7,48.4
1,854,50,8,3297,1,13,26,1361,2.2,52.5,0.0,50.7
1,488,83,3,732,1,13,26,4232,1.1,51.7,0.1,8.3
1,466,82,3,1418,106,117,371,3220,0.8,58.0,1.2,21.7
1,355,60,3,1666,1,13,26,790,0.3,43.7,0.0,30.6
1,238,17,5,1237,1,13,26,2032,0.5,50.3,0.3,22.8
1,96,11,3,89,1,13,26,412,0.9,43.0,0.0,19.3
1,145,11,3,68,2,13,26,968,1.7,55.0,0.0,27.6
